正面;背面
"【单选题】职业道德的概念有广义和狭义之分。狭义的职业道德是指在( )活动中应遵循的职
业行为准则和规范。
人工智能训练师（三级）理论知识复习题
(A)职业活动
(B)普通职业
(C)一定职业
(D)危险职业";"【PDF答案】C


【题目】
职业道德的概念有广义和狭义之分。狭义的职业道德是指在( )活动中应遵循的职
业行为准则和规范。
人工智能训练师（三级）理论知识复习题
(A)职业活动
(B)普通职业
(C)一定职业
(D)危险职业"
"【单选题】( )是调整职业个人、职业主体和社会成员之间关系的行为准则和规范。
(A)职业纪律
(B)职业责任
(C)职业良心
(D)职业作风";"【PDF答案】A


【题目】
( )是调整职业个人、职业主体和社会成员之间关系的行为准则和规范。
(A)职业纪律
(B)职业责任
(C)职业良心
(D)职业作风"
"【单选题】职业道德真正形成于( )。
(A)原始社会
(B)奴隶社会
(C)封建社会
(D)资本主义社会";"【PDF答案】B


【题目】
职业道德真正形成于( )。
(A)原始社会
(B)奴隶社会
(C)封建社会
(D)资本主义社会"
"【单选题】古人所谓的“鞠躬尽瘁，死而后已”。揭示了职业活动内在的道德准则中的( )准则。
(A)忠诚
(B)审慎
(C)勤勉
(D)民主";"【PDF答案】B


【题目】
古人所谓的“鞠躬尽瘁，死而后已”。揭示了职业活动内在的道德准则中的( )准则。
(A)忠诚
(B)审慎
(C)勤勉
(D)民主"
"【单选题】从道德和社会责任角度考虑，人工智能训练师在处理用户数据时，应确保数据的
( )。
(A)准确性
(B)完整性
(C)可追溯性
(D)安全性";"【PDF答案】D


【题目】
从道德和社会责任角度考虑，人工智能训练师在处理用户数据时，应确保数据的
( )。
(A)准确性
(B)完整性
(C)可追溯性
(D)安全性"
"【单选题】在人工智能的职业道德中，最能体现其对隐私保护的重视是( )。
(A)忠诚
人工智能训练师（三级）理论知识复习题
(B)勤勉
(C)诚信
(D)保密";"【PDF答案】D


【题目】
在人工智能的职业道德中，最能体现其对隐私保护的重视是( )。
(A)忠诚
人工智能训练师（三级）理论知识复习题
(B)勤勉
(C)诚信
(D)保密"
"【单选题】人工智能训练师需要具备的素质包括( )。
(A)高级管理技能
(B)扎实的技术基础
(C)高级图形设计技能
(D)敏锐的市场洞察力";"【PDF答案】B


【题目】
人工智能训练师需要具备的素质包括( )。
(A)高级管理技能
(B)扎实的技术基础
(C)高级图形设计技能
(D)敏锐的市场洞察力"
"【单选题】职业道德是职业守则的核心内容之一，不属于职业道德强调的关系是( )。
(A)个人与集体
(B)个人与社会
(C)个人与他人
(D)个人与工作职责";"【PDF答案】A


【题目】
职业道德是职业守则的核心内容之一，不属于职业道德强调的关系是( )。
(A)个人与集体
(B)个人与社会
(C)个人与他人
(D)个人与工作职责"
"【单选题】从业人员要强化岗位职业责任必须要做到( )。
(A)了解职业责任、坚守工作岗位
(B)了解职业责任、强化责任意识
(C)坚守工作岗位、履行职业守则
(D)坚守工作岗位、强化责任意识";"【PDF答案】B


【题目】
从业人员要强化岗位职业责任必须要做到( )。
(A)了解职业责任、坚守工作岗位
(B)了解职业责任、强化责任意识
(C)坚守工作岗位、履行职业守则
(D)坚守工作岗位、强化责任意识"
"【单选题】爱岗敬业是企业对从业人员的( )。
(A)职业规定
(B)职业守则
(C)职业纪律
(D)职业要求";"【PDF答案】D


【题目】
爱岗敬业是企业对从业人员的( )。
(A)职业规定
(B)职业守则
(C)职业纪律
(D)职业要求"
