正面;背面
"【多选题】职业道德，就是同人们的职业活动紧密联系的符合职业特点所要求( )的的总和。
(A) 道德准则
(B) 道德情操
(C) 道德品质
(D) 道德底线
(E) 道德约束";"【题目】
职业道德，就是同人们的职业活动紧密联系的符合职业特点所要求( )的的总和。
(A) 道德准则
(B) 道德情操
(C) 道德品质
(D) 道德底线
(E) 道德约束

⚠️ 答案待补充（PDF中为颜色标记）"
"【多选题】职业道德基本知识中，关于奉献社会的要求，正确的是( )。
(A) 树立正确的义利观
(B) 认真履行岗位职责
(C) 正确处理个人利益和集体利益的关系
(D) 增强社会责任感
(E) 以我为主";"【题目】
职业道德基本知识中，关于奉献社会的要求，正确的是( )。
(A) 树立正确的义利观
(B) 认真履行岗位职责
(C) 正确处理个人利益和集体利益的关系
(D) 增强社会责任感
(E) 以我为主

⚠️ 答案待补充（PDF中为颜色标记）"
"【多选题】在社会主义社会时期，职业道德的发展有特点包括 ( )。
(A) 个人主义盛行
(B) 注重社会责任
(C) 提倡无私奉献
(D) 追求公平正义
(E) 鼓励创新和发展";"【题目】
在社会主义社会时期，职业道德的发展有特点包括 ( )。
(A) 个人主义盛行
(B) 注重社会责任
(C) 提倡无私奉献
(D) 追求公平正义
(E) 鼓励创新和发展

⚠️ 答案待补充（PDF中为颜色标记）"
"【多选题】职业道德建设的基本原则关注职业活动中的人际关系和社会责任。这些原则鼓励人们
在职业活动中保持( )，并不断提升自己的专业知识和技能。
(A) 公正公平
(B) 爱岗敬业
(C) 团队合作
(D) 持续学习
(E) 个人至上";"【题目】
职业道德建设的基本原则关注职业活动中的人际关系和社会责任。这些原则鼓励人们
在职业活动中保持( )，并不断提升自己的专业知识和技能。
(A) 公正公平
(B) 爱岗敬业
(C) 团队合作
(D) 持续学习
(E) 个人至上

⚠️ 答案待补充（PDF中为颜色标记）"
"【多选题】人工智能训练师在进行模型训练时，应遵循的职业道德基本要求包括( )。
(A) 保护用户隐私和数据安全
人工智能训练师（三级）理论知识复习题
(B) 确保模型输出的准确性和可靠性
(C) 尊重知识产权和公平竞争
(D) 不断提升自身专业技能
(E) 遵守法律法规和公司规章制度";"【题目】
人工智能训练师在进行模型训练时，应遵循的职业道德基本要求包括( )。
(A) 保护用户隐私和数据安全
人工智能训练师（三级）理论知识复习题
(B) 确保模型输出的准确性和可靠性
(C) 尊重知识产权和公平竞争
(D) 不断提升自身专业技能
(E) 遵守法律法规和公司规章制度

⚠️ 答案待补充（PDF中为颜色标记）"
"【多选题】在人工智能训练过程中，训练师需要遵循的职业道德规范包括( )。
(A) 尊重知识产权
(B) 保持公正客观
(C) 注重数据安全
(D) 勇于创新
(E) 个人利益优先";"【题目】
在人工智能训练过程中，训练师需要遵循的职业道德规范包括( )。
(A) 尊重知识产权
(B) 保持公正客观
(C) 注重数据安全
(D) 勇于创新
(E) 个人利益优先

⚠️ 答案待补充（PDF中为颜色标记）"
"【多选题】在人工智能训练过程中，( )是不被鼓励的。
(A) 过度追求模型的准确率
(B) 忽视模型的可解释性
(C) 在未经充分验证的情况下将模型应用于实际场景
(D) 不断尝试新的技术和方法以提高模型性能
(E) 不尊重和保护用户隐私和数据安全";"【题目】
在人工智能训练过程中，( )是不被鼓励的。
(A) 过度追求模型的准确率
(B) 忽视模型的可解释性
(C) 在未经充分验证的情况下将模型应用于实际场景
(D) 不断尝试新的技术和方法以提高模型性能
(E) 不尊重和保护用户隐私和数据安全

⚠️ 答案待补充（PDF中为颜色标记）"
"【多选题】职业守则是指从事某种职业的人们在职业活动中应该遵循的行为规范的总和，它包括
( )。
(A) 道德准则
(B) 法律法规
(C) 技术规程
(D) 个人习惯
(E) 文化传统";"【题目】
职业守则是指从事某种职业的人们在职业活动中应该遵循的行为规范的总和，它包括
( )。
(A) 道德准则
(B) 法律法规
(C) 技术规程
(D) 个人习惯
(E) 文化传统

⚠️ 答案待补充（PDF中为颜色标记）"
"【多选题】关于职业守则，符合其通常具有的特点的描述为( )。
(A) 职业守则具有高度的个性化，每位从业者都可以根据自己的喜好来制定
(B) 职业守则强调从业者在工作中的专业态度和责任心
(C) 职业守则仅关注本职业内部的操作规范和流程
人工智能训练师（三级）理论知识复习题
(D) 职业守则涉及本职业与其他职业之间的合作关系与沟通
(E) 职业守则随着社会发展和行业变革而不断更新和完善";"【题目】
关于职业守则，符合其通常具有的特点的描述为( )。
(A) 职业守则具有高度的个性化，每位从业者都可以根据自己的喜好来制定
(B) 职业守则强调从业者在工作中的专业态度和责任心
(C) 职业守则仅关注本职业内部的操作规范和流程
人工智能训练师（三级）理论知识复习题
(D) 职业守则涉及本职业与其他职业之间的合作关系与沟通
(E) 职业守则随着社会发展和行业变革而不断更新和完善

⚠️ 答案待补充（PDF中为颜色标记）"
"【多选题】职业守则要求我们在工作中，不应该出现( )的情况。
(A) 承担责任
(B) 逃避责任
(C) 推卸责任
(D) 履行责任
(E) 忽略责任";"【题目】
职业守则要求我们在工作中，不应该出现( )的情况。
(A) 承担责任
(B) 逃避责任
(C) 推卸责任
(D) 履行责任
(E) 忽略责任

⚠️ 答案待补充（PDF中为颜色标记）"
