实际值	预测值
1	0.9985708
1	1.1020335
1	1.0340612
1	0.99769163
1	1.0912467
1	1.0059996
1	0.9978
1	0.9976463
1	1.0000311
1	0.99969274
1	1.1193246
1	1.1721407
1	1.1403993
1	0.9636217
1	0.9980823
1	0.99953175
1	0.9856453
1	0.9905231
1	1.200834
1	0.9989884
1	0.9951644
1	0.99959064
1	0.99932826
1	1.0705943
1	1.0133821
1	1.0063456
1	0.99996334
1	0.9883821
1	1.0032687
1	0.9867777
1	1.1274872
1	1.0615414
1	0.999966
1	0.9993299
1	1.0560802
1	1.2009153
1	1.078939
1	0.9877044
1	1.0393516
1	0.9985948
1	0.9999301
1	0.99777377
1	0.99953353
1	0.98581326
1	0.9640079
2	1.341579
1	1.0038823
1	0.9991331
1	1.002529
1	1.0029701
1	0.9940568
1	0.987391
1	0.99840146
1	0.999297
1	0.9982799
1	1.0029542
1	1.0744729
1	0.99882126
2	1.2968987
1	0.9912498
1	0.99887645
1	0.999045
1	0.9662851
1	1.001842
