chapter,total_score,earned_score,percentage,practice_file,item_id,description,difficulty,earned,max,correct
2.2.2,4,4,100.0,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/2.2.2-materials/2.2.2-practice_202608020955.ipynb,M1,正确加载 auto-mpg.csv 数据集,easy,1,1,True
2.2.2,4,4,100.0,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/2.2.2-materials/2.2.2-practice_202608020955.ipynb,M7,使用 train_test_split 划分训练集和测试集,medium,1,1,True
2.2.2,4,4,100.0,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/2.2.2-materials/2.2.2-practice_202608020955.ipynb,M8,创建包含 StandardScaler 和 LinearRegression 的 Pipeline,hard,1,1,True
2.2.2,4,4,100.0,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/2.2.2-materials/2.2.2-practice_202608020955.ipynb,M13,初始化 RandomForestRegressor 模型,medium,1,1,True
2.2.3,23,11,47.8,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/2.2.3-materials/2.2.3_practice_202608021035.ipynb,M1,加载数据集,medium,0,1,False
2.2.3,23,11,47.8,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/2.2.3-materials/2.2.3_practice_202608021035.ipynb,M2,显示数据前几行,medium,0,1,False
2.2.3,23,11,47.8,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/2.2.3-materials/2.2.3_practice_202608021035.ipynb,M3,完成代码填空,medium,0,1,False
2.2.3,23,11,47.8,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/2.2.3-materials/2.2.3_practice_202608021035.ipynb,M4,完成代码填空,hard,0,1,False
2.2.3,23,11,47.8,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/2.2.3-materials/2.2.3_practice_202608021035.ipynb,M5,划分训练集和测试集,medium,1,1,True
2.2.3,23,11,47.8,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/2.2.3-materials/2.2.3_practice_202608021035.ipynb,M6,划分训练集和测试集,medium,1,1,True
2.2.3,23,11,47.8,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/2.2.3-materials/2.2.3_practice_202608021035.ipynb,M7,完成代码填空,medium,1,1,True
2.2.3,23,11,47.8,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/2.2.3-materials/2.2.3_practice_202608021035.ipynb,M8,完成代码填空,medium,1,1,True
2.2.3,23,11,47.8,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/2.2.3-materials/2.2.3_practice_202608021035.ipynb,M9,训练模型,medium,1,1,True
2.2.3,23,11,47.8,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/2.2.3-materials/2.2.3_practice_202608021035.ipynb,M10,保存模型,medium,0,1,False
2.2.3,23,11,47.8,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/2.2.3-materials/2.2.3_practice_202608021035.ipynb,M11,模型预测,medium,0,1,False
2.2.3,23,11,47.8,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/2.2.3-materials/2.2.3_practice_202608021035.ipynb,M12,完成代码填空,medium,0,1,False
2.2.3,23,11,47.8,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/2.2.3-materials/2.2.3_practice_202608021035.ipynb,M13,完成代码填空,medium,0,1,False
2.2.3,23,11,47.8,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/2.2.3-materials/2.2.3_practice_202608021035.ipynb,M14,完成代码填空,easy,1,1,True
2.2.3,23,11,47.8,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/2.2.3-materials/2.2.3_practice_202608021035.ipynb,M15,完成代码填空,easy,1,1,True
2.2.3,23,11,47.8,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/2.2.3-materials/2.2.3_practice_202608021035.ipynb,M16,完成代码填空,medium,0,1,False
2.2.3,23,11,47.8,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/2.2.3-materials/2.2.3_practice_202608021035.ipynb,M17,完成代码填空,medium,0,1,False
2.2.3,23,11,47.8,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/2.2.3-materials/2.2.3_practice_202608021035.ipynb,M18,训练模型,medium,1,1,True
2.2.3,23,11,47.8,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/2.2.3-materials/2.2.3_practice_202608021035.ipynb,M19,模型预测,medium,0,1,False
2.2.3,23,11,47.8,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/2.2.3-materials/2.2.3_practice_202608021035.ipynb,M20,完成代码填空,hard,1,1,True
2.2.3,23,11,47.8,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/2.2.3-materials/2.2.3_practice_202608021035.ipynb,M21,完成代码填空,hard,0,1,False
2.2.3,23,11,47.8,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/2.2.3-materials/2.2.3_practice_202608021035.ipynb,M22,完成代码填空,medium,1,1,True
