chapter,total_score,earned_score,percentage,practice_file,item_id,description,difficulty,earned,max,correct
1.1.1,22,0,0.0,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/1.1.1-materials/1.1.1_practice_202608052255.ipynb,M1,读取数据集,medium,0,1,False
1.1.1,22,0,0.0,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/1.1.1-materials/1.1.1_practice_202608052255.ipynb,M2,创建新列'RiskLevel'，根据住院天数判断风险等级,hard,0,1,False
1.1.1,22,0,0.0,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/1.1.1-materials/1.1.1_practice_202608052255.ipynb,M3,创建新列'RiskLevel'，根据住院天数判断风险等级,hard,0,1,False
1.1.1,22,0,0.0,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/1.1.1-materials/1.1.1_practice_202608052255.ipynb,M4,创建新列'RiskLevel'，根据住院天数判断风险等级,hard,0,1,False
1.1.1,22,0,0.0,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/1.1.1-materials/1.1.1_practice_202608052255.ipynb,M5,统计不同风险等级的患者数量,medium,0,1,False
1.1.1,22,0,0.0,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/1.1.1-materials/1.1.1_practice_202608052255.ipynb,M6,统计不同风险等级的患者数量,medium,0,1,False
1.1.1,22,0,0.0,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/1.1.1-materials/1.1.1_practice_202608052255.ipynb,M7,计算高风险患者占比,easy,0,1,False
1.1.1,22,0,0.0,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/1.1.1-materials/1.1.1_practice_202608052255.ipynb,M8,计算低风险患者占比,easy,0,1,False
1.1.1,22,0,0.0,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/1.1.1-materials/1.1.1_practice_202608052255.ipynb,M9,根据BMI值划分指定区间,hard,0,1,False
1.1.1,22,0,0.0,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/1.1.1-materials/1.1.1_practice_202608052255.ipynb,M10,根据BMI值划分指定区间,hard,0,1,False
1.1.1,22,0,0.0,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/1.1.1-materials/1.1.1_practice_202608052255.ipynb,M11,根据BMI值划分指定区间,hard,0,1,False
1.1.1,22,0,0.0,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/1.1.1-materials/1.1.1_practice_202608052255.ipynb,M12,根据BMI值划分指定区间,hard,0,1,False
1.1.1,22,0,0.0,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/1.1.1-materials/1.1.1_practice_202608052255.ipynb,M13,计算每个BMI区间中高风险患者的比例,hard,0,1,False
1.1.1,22,0,0.0,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/1.1.1-materials/1.1.1_practice_202608052255.ipynb,M14,计算每个BMI区间中高风险患者的比例,hard,0,1,False
1.1.1,22,0,0.0,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/1.1.1-materials/1.1.1_practice_202608052255.ipynb,M15,统计每个BMI区间的患者数量,medium,0,1,False
1.1.1,22,0,0.0,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/1.1.1-materials/1.1.1_practice_202608052255.ipynb,M16,根据年龄值划分指定区间,hard,0,1,False
1.1.1,22,0,0.0,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/1.1.1-materials/1.1.1_practice_202608052255.ipynb,M17,根据年龄值划分指定区间,hard,0,1,False
1.1.1,22,0,0.0,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/1.1.1-materials/1.1.1_practice_202608052255.ipynb,M18,根据年龄值划分指定区间,hard,0,1,False
1.1.1,22,0,0.0,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/1.1.1-materials/1.1.1_practice_202608052255.ipynb,M19,根据年龄值划分指定区间,hard,0,1,False
1.1.1,22,0,0.0,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/1.1.1-materials/1.1.1_practice_202608052255.ipynb,M20,计算每个年龄区间中高风险患者的比例,hard,0,1,False
1.1.1,22,0,0.0,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/1.1.1-materials/1.1.1_practice_202608052255.ipynb,M21,计算每个年龄区间中高风险患者的比例,hard,0,1,False
1.1.1,22,0,0.0,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/1.1.1-materials/1.1.1_practice_202608052255.ipynb,M22,统计每个年龄区间的患者数量,medium,0,1,False
1.1.2,34,0,0.0,/Users/air/Downloads/GUIDE_AI_3/人工智能训练师_3级_sucai/1.1.2-materials/1.1.2_practice_202608052257.ipynb,M1,读取数据集,medium,0,2,False
