datetime,notebook,path,tasks_completed,tasks_total,score,total_score,percentage,errors_count,errors_summary
2026-08-02 11:21,2.2.4_practice_202608021121_review,2.2.4-materials/2.2.4_practice_202608021121_review.md,,,,,,1,错误1：执行错误
2026-08-01 19:14,2.1.1_practice_202608011914_review,2.1.1-materials/2.1.1_practice_202608011914_review.md,,,8.0,7.0,87.5%,2,错误1：检查缺失值方法错误（中）: `print(data.isnull().shape)` → `print(data.isnull().sum())`…
2026-08-01 18:31,1.1.5_practice_202608011831_review,1.1.5-materials/1.1.5_practice_202608011831_review.md,4,4,22.0,21.5,97.7%,1,错误1：缺少 `sort_index()`（低）
2026-08-01 18:10,1.1.5_practice_202608011810_review,1.1.5-materials/1.1.5_practice_202608011810_review.md,3,4,22.0,20.0,90.9%,2,错误1：`agg()` 参数错误（中）<br>错误2：无
2026-08-01 17:46,1.1.4_practice_202608011746_review,1.1.4-materials/1.1.4_practice_202608011746_review.md,,,9.0,7.0,77.8%,1,错误1：数据标准化公式括号位置错误（高）: `(data['PurchaseAmount'] - data['PurchaseAmount']).mean()` → `(data['PurchaseAmount'] - data['PurchaseAmount'].mean()) / data['P…
2026-08-01 17:16,1.1.2_practice_202608011716_review,1.1.2-materials/1.1.2_practice_202608011716_review.md,3,3,18.0,18.0,100.0%,0,无错误
2026-08-01 16:59,1.1.2_practice_202608011659_review,1.1.2-materials/1.1.2_practice_202608011659_review.md,2,3,18.0,10.0,55.6%,2,错误1：`fillna` 参数错误<br>错误2：DataFrame调用语法错误
2026-07-25 23:29,1.1.5_practice_202607252329_review,1.1.5-materials/1.1.5_practice_202607252329_review.md,,,,,,1,错误1：to_csv参数错误
2026-07-25 23:10,1.1.4_practice_202607252310_review,1.1.4-materials/1.1.4_practice_202607252310_review.md,,,,,,1,错误1：to_csv参数错误
,1.1.1_practice_review,1.1.1-materials/1.1.1_practice_review.md,,,,,,0,无错误
,1.1.3_practice_20260729223831_review,1.1.3-materials/1.1.3_practice_20260729223831_review.md,,,,,,0,无错误
,2.1.4_practice_20260802_v2_review,2.1.4-materials/2.1.4_practice_20260802_v2_review.md,,,,,,1,错误1：执行错误
,2.2.1_practice_20260802_review,2.2.1-materials/2.2.1_practice_20260802_review.md,,,,,,2,错误1：to_csv参数错误<br>错误2：to_csv参数错误
