实际值	预测值
1	0.99791914
1	1.0756714
1	1.1110879
1	1.0134082
1	1.0912256
1	1.0053554
1	1.0025167
1	1.0015024
1	0.9996944
1	1.0094934
1	1.1633188
1	1.1029265
1	0.9536241
1	1.0014641
1	1.000914
1	1.0026063
1	1.0158458
1	1.0046784
1	1.1606799
1	1.001824
1	0.91419065
1	0.99242216
1	0.99910235
1	1.0498595
1	0.9985598
1	1.0100918
1	1.0033792
1	0.93915975
1	0.9995034
1	0.9612203
1	1.0355613
1	1.0018613
1	1.0043486
1	0.99708784
1	1.0007906
1	1.1202621
1	1.1752735
1	1.0097593
1	1.2080048
1	0.9998937
1	1.001403
1	0.9988555
1	1.002541
1	0.9541367
1	1.0031124
2	1.5541041
1	0.998658
1	1.0025402
1	0.97799516
1	1.2112882
1	0.99547905
1	0.9885325
1	0.99940795
1	0.99001026
1	1.0016702
1	1.0018256
1	1.1180639
1	1.0035217
2	1.3244289
1	0.98795116
1	1.0007261
1	0.9991226
1	1.0852859
1	1.0004972
