实际值	预测值
1	0.99994564
1	1.1100154
1	1.0556821
1	0.9902453
1	1.1181308
1	1.0197912
1	0.99957526
1	0.9987268
1	0.99961936
1	0.99927175
1	1.1359962
1	1.1315764
1	1.1863995
1	0.95725894
1	0.9981019
1	0.99857163
1	0.9865961
1	0.9995843
1	1.2348762
1	0.99870443
1	1.0006545
1	1.00004
1	0.9979597
1	1.0389345
1	1.0220726
1	0.9981873
1	1.0027812
1	0.9878928
1	1.0036691
1	0.9943904
1	1.06158
1	0.995046
1	0.99944997
1	1.0124011
1	1.050101
1	1.1508505
1	1.1193297
1	0.98923945
1	1.1421938
1	0.9970408
1	1.0009197
1	0.99901307
1	0.99906665
1	1.002028
1	0.98378956
2	1.3934183
1	1.0017886
1	1.0164112
1	0.9956416
1	1.0445992
1	0.99960214
1	1.0007803
1	1.000679
1	0.99392617
1	0.99914783
1	1.0025281
1	1.0261391
1	1.0024194
2	1.3649238
1	0.9940431
1	0.9988378
1	0.9982631
1	0.93887967
1	1.0042758
